libName,groupArtifactId,groupArtifact,SimilarArtifactIds,SimilarArtifacts
cglib,196,cglib:cglib,,
commons-lang,60207;60232,commons-lang:commons-lang;org.apache.commons:commons-lang3,,
solder,8812,org.jboss.solder:solder-api,5284,org.jboss.solder:solder-impl
htmlparser,12616;61703;62378,nu.validator:htmlparser;org.htmlparser:htmlparser;nu.validator.htmlparser:htmlparser,,
reflectasm,640;65918,com.esotericsoftware:reflectasm;com.esotericsoftware.reflectasm:reflectasm,,
bouncycastle,,,,
xmlParserAPIs,61334;65071,xerces:xmlParserAPIs;xml-apis:xmlParserAPIs,,
org.json,135,org.json:json,,
elasticsearch,50;129,org.elasticsearch:elasticsearch;org.elasticsearch:elasticsearch-core,,
mvel2,871,org.mvel:mvel2,7690,org.mule.mvel:mule-mvel2
hazelcast,663;832,com.hazelcast:hazelcast;com.hazelcast:hazelcast-client,,
json-lib,284,net.sf.json-lib:json-lib,4710;11841,org.kohsuke.stapler:json-lib;com.hynnet:json-lib
jwebunit,69001,jwebunit:jwebunit,18095,net.sourceforge.jwebunit:jwebunit
jcommander,413,com.beust:jcommander,10596,de.weltraumschaf.commons:jcommander
castor,62851;64043;67040,org.codehaus.castor:castor;castor:castor;org.codehaus.castor:castor-core,,
jyaml,64387,org.jyaml:jyaml,,
slick,3619,org.slick2d:slick2d-core,,
slf4j,8,org.slf4j:slf4j-api,44;69;97;218;267;290;707;997;751;2317;60400,org.slf4j:slf4j-log4j12;org.slf4j:slf4j-simple;org.slf4j:log4j-over-slf4j;org.slf4j:slf4j-jdk14;org.slf4j:slf4j-nop;org.slf4j:slf4j-jcl;org.slf4j:slf4j-ext;org.slf4j:slf4j-android;org.slf4j:slf4j-site
joda-time,51,joda-time:joda-time,,
antlr,498;946;1043,antlr:antlr;org.antlr:antlr;org.antlr:antlr4,505;604,org.antlr:antlr4-runtime;org.antlr:antlr-runtime
leveldb,1592;3939,org.iq80.leveldb:leveldb;org.iq80.leveldb:leveldb-api,29408;18434,org.dellroad:leveldb;org.dellroad:leveldb-api
tagsoup,61344;79253,org.ccil.cowan.tagsoup:tagsoup;tagsoup:tagsoup,,
httpunit,61286;67520,httpunit:httpunit;org.httpunit:httpunit,,
groovy,260;63874;66830,org.codehaus.groovy:groovy;groovy:groovy-all;groovy:groovy,111,org.codehaus.groovy:groovy-all
apache-mina,71656,org.kie.modules:org-apache-mina,,
cassandra,434;60900,com.datastax.cassandra:cassandra-driver-core;org.apache.cassandra:cassandra-all,,
high-scale-lib,4389,com.boundary:high-scale-lib,,
wstx-asl,60956;62125,org.codehaus.woodstox:wstx-asl;woodstox:wstx-asl,,
jide-oss,3757,com.jidesoft:jide-oss,,
xstream,274;61217,com.thoughtworks.xstream:xstream;xstream:xstream,23295;28946;36846,org.sonatype.nexus.xstream:xstream;org.hudsonci.tools:xstream;io.github.benas:xstream
stax2-api,1151,org.codehaus.woodstox:stax2-api,,
jzlib,902,com.jcraft:jzlib,,
httpcore,189,org.apache.httpcomponents:httpcore,245,
guice,145,com.google.inject:guice,2182,
libreadline-java,24598,org.aesh:aesh-readline,,
signpost,61860,oauth.signpost:signpost-core,,
lucene,60577,org.apache.lucene:lucene-core,,
concurrent,5596;15603;60832,io.airlift:concurrent;com.facebook.airlift:concurrent;concurrent:concurrent,,
hibernate,79;60981,org.hibernate:hibernate-core;org.hibernate:hibernate,83;2772;6368;27133;60521,hibernate:hibernate;com.liferay:org.hibernate.core;org.atteo.moonshine:hibernate
lwjgl,1573;62317,org.lwjgl:lwjgl;org.lwjgl.lwjgl:lwjgl,,
svenson,15090,com.google.code.svenson:svenson,,
fest,287,org.easytesting:fest-assert,405,org.easytesting:fest-assert-core
logback,16;160,ch.qos.logback:logback-classic;ch.qos.logback:logback-core,,
java-cup,67285;75022,net.sf.squirrel-sql.thirdparty-non-maven:java-cup;edu.princeton.cup:java-cup,,
stax-utils,62677,net.java.dev.stax-utils:stax-utils,,
freemarker,268;62632,org.freemarker:freemarker;freemarker:freemarker,6125,com.netflix.Nicobar:nicobar-manager
commons-codec,57,commons-codec:commons-codec,,
selenium,193;323;327,org.seleniumhq.selenium:selenium-java;org.seleniumhq.selenium:selenium-server;org.seleniumhq.selenium:selenium-api,,
eclipselink,60612,org.eclipse.persistence:eclipselink,,
lambdaj,61456,com.googlecode.lambdaj:lambdaj,,
nanoxml,82718,be.cyberelf.nanoxml:nanoxml,,
swing-layout,62277,org.swinglabs:swing-layout,,
jline,300;2811;7631,jline:jline;org.jline:jline;org.sonatype.jline:jline,,
pdfbox,60916;64972,org.apache.pdfbox:pdfbox;pdfbox:pdfbox,,
xom,756,xom:xom,,
htmlunit,67500,htmlunit:htmlunit,,
jgrapht,634;63895,org.jgrapht:jgrapht-core;jgrapht:jgrapht,12757;49045,org.jgrapht:jgrapht;org.javabits.jgrapht:jgrapht
opennlp,1182;80267,org.apache.opennlp:opennlp-tools;org.apache.opennlp:opennlp,,
json-path,243,com.jayway.jsonpath:json-path,2103;56444,com.jayway.restassured:json-path;io.paradoxical:json-path
deltaspike,62631;62747,org.apache.deltaspike.core:deltaspike-core-api;org.apache.deltaspike.core:deltaspike-core-impl,,
jgraphx,3826,org.tinyjee.jgraphx:jgraphx,16060,com.github.monkeysintown:jgraphx
powermock,711;3745;4408,org.powermock:powermock-core;org.powermock:powermock;org.powermock:powermock-api,230;215,
hsqldb,60378;60591,org.hsqldb:hsqldb;hsqldb:hsqldb,,
jflex,4089,de.jflex:jflex,,
jsonic,63371,net.arnx:jsonic,,
jsoup,211,org.jsoup:jsoup,6083,org.keycloak:keycloak-appliance-dist-all
PermissionsEx,,,,
infinispan,648,org.infinispan:infinispan-core,,
neo4j,955,org.neo4j:neo4j,,
jung,2625,net.sf.jung:jung-api,,
speed4j,11859,com.ecyrd.speed4j:speed4j,,
compress-lzf,1586,com.ning:compress-lzf,,
xml-writer,68200,com.megginson.sax:xml-writer,,
asm,60512;61516;60444;61031,asm:asm;asm:asm-all;org.ow2.asm:asm;org.ow2.asm:asm-all,60792,
wizard,,,,
testng,64,org.testng:testng,,
dumbster,63577,dumbster:dumbster,17841;36710,com.bitmechanic:dumbster;de.softwareforge:dumbster
jmockit,440;62145;65298,org.jmockit:jmockit;com.googlecode.jmockit:jmockit;mockit:jmockit,,
fastjson,147,com.alibaba:fastjson,,
xpp3,60936;68444,xpp3:xpp3;org.ogce:xpp3,,
commons-cli,60367;68543,commons-cli:commons-cli;org.apache.mahout.commons:commons-cli,,
xerces,232;61485,xerces:xercesImpl;xerces:xerces,,
bcel,62302;62318,org.apache.bcel:bcel;bcel:bcel,,
stanford-corenlp,61061,edu.stanford.nlp:stanford-corenlp,,
jaxen,296,jaxen:jaxen,,
backport-util-concurrent,61191,backport-util-concurrent:backport-util-concurrent,,
spring,32,,,
fastutil,662;66288,it.unimi.dsi:fastutil;fastutil:fastutil,,
db4o,,,,
Permissions,4783,com.liferay:com.liferay.application.list.user.personal.site.permissions,12096;21190;41427,com.paypal.sdk:permissionssdk;org.jasig.portal:uPortal-security-permissions;de.ebf:spring-granular-permissions
derby,60447;60902,org.apache.derby:derby;org.apache.derby:derbyclient,,
commons-logging,60264,commons-logging:commons-logging;commons-logging:commons-logging-api,60824,
jettison,60801,org.codehaus.jettison:jettison,,
shrinkwrap,1500,org.jboss.shrinkwrap:shrinkwrap-api,,
timingframework,74025,net.java.dev.timingframework:timingframework,,
flexjson,61075,net.sf.flexjson:flexjson,,
javassist,197;60536;62561,org.javassist:javassist;javassist:javassist;jboss:javassist,,
easymock,138;61151,org.easymock:easymock;easymock:easymock,,
sqljet,68416,org.tmatesoft.sqljet:sqljet,,
sqlite-jdbc,382,org.xerial:sqlite-jdbc,16304,org.wisdom-framework:sqlite-jdbc
commons-collections,94;60450,commons-collections:commons-collections;org.apache.commons:commons-collections4,,
jdom,495;790;60724,org.jdom:jdom;org.jdom:jdom2;jdom:jdom,,
javolution,62466;68679,javolution:javolution;org.javolution:javolution,,
mockobjects,62640;81852,mockobjects:mockobjects-core;mockobjects:mockobjects,,
json-smart,818,net.minidev:json-smart,,
args4j,621,args4j:args4j,,
jansi,669,org.fusesource.jansi:jansi,,
stringtemplate,60979;67442,org.antlr:stringtemplate;antlr:stringtemplate,,
collections-generic,62806,net.sourceforge.collections:collections-generic,,
iogi,10469,br.com.caelum:iogi,,
perf4j,2591,org.perf4j:perf4j,,
swingx,62281;63976;67247;70563,org.swinglabs:swingx;org.swinglabs.swingx:swingx-all;org.swinglabs:swingx-core;org.swinglabs.swingx:swingx-core,,
mongo-java-driver,264,org.mongodb:mongo-java-driver,,
jgoodies,63525;64719,com.jgoodies:jgoodies-forms;com.jgoodies:jgoodies-common,,
reflections,186,org.reflections:reflections,,
jopt-simple,661,net.sf.jopt-simple:jopt-simple,,
htmlcleaner,61591,net.sourceforge.htmlcleaner:htmlcleaner,,
xmltooling,65528,org.opensaml:xmltooling,,
h2,107,com.h2database:h2,,
saxon,62348;62629;63972,net.sf.saxon:saxon;net.sourceforge.saxon:saxon;saxon:saxon,,
hppc,1954,com.carrotsearch:hppc,,
mockito,15;31,org.mockito:mockito-core;org.mockito:mockito-all,,
java-getopt,64129;68850,gnu.getopt:java-getopt;urbanophile:java-getopt,,
dom4j,205;482,dom4j:dom4j;org.dom4j:dom4j,,
miglayout,62359,com.miglayout:miglayout,,
samskivert,5089,com.samskivert:samskivert,,
jasypt,61173,org.jasypt:jasypt,,
jackson,37;75;87,com.fasterxml.jackson.core:jackson-databind;com.fasterxml.jackson.core:jackson-core;com.fasterxml.jackson.core:jackson-annotations,61059;60328;60423,
subethasmtp,62655,org.subethamail:subethasmtp,,
postgresql,219;60470,org.postgresql:postgresql;postgresql:postgresql,,
solr,63673,org.apache.solr:solr,,
xalan,60647,xalan:xalan,,
colt,62050,colt:colt,,
hbase,60826;61225;61318,org.apache.hbase:hbase-client;org.apache.hbase:hbase-server;org.apache.hbase:hbase,,
jbullet,12769,cz.advel.jbullet:jbullet,,
log4j,25;60305;60335,log4j:log4j;org.apache.logging.log4j:log4j-core;org.apache.logging.log4j:log4j-api,,
netty,192;273,io.netty:netty-all;io.netty:netty,,
jericho-html,62311;79468,net.htmlparser.jericho:jericho-html;net.htmlparser:jericho-html,,
parboiled,2259;2351,org.parboiled:parboiled-java;org.parboiled:parboiled-core,,
junit,5,junit:junit,151;155;248;288,
jibx,3648;6819;6980,org.jibx:jibx-run;org.jibx:jibx-extras;org.jibx:jibx-bind,10058;10636,org.jibx:jibx-tools;org.jibx:jibx-schema
commons-httpclient,213,commons-httpclient:commons-httpclient,,
simple-xml,61737,org.simpleframework:simple-xml,,
velocity,280;60697,org.apache.velocity:velocity;velocity:velocity,,
itext,562;622;64770,com.itextpdf:itextpdf;com.lowagie:itext;itext:itext,,
jasperreports,60823;63472,net.sf.jasperreports:jasperreports;jasperreports:jasperreports,,
scribe,679,org.scribe:scribe,,
scannotation,63395;64956,net.sf.scannotation:scannotation;org.scannotation:scannotation,,
mahout,2160;9389;61736;65880,org.apache.mahout:mahout-math;org.apache.mahout:mahout;org.apache.mahout:mahout-core;org.apache.mahout:mahout-collections,,
objenesis,179,org.objenesis:objenesis,,
trove4j,61094,net.sf.trove4j:trove4j,,
json-simple,60435,com.googlecode.json-simple:json-simple,14739,com.github.cliftonlabs:json-simple
kxml2,62797;71473,net.sf.kxml:kxml2;kxml2:kxml2,,
jxlayer,71259,org.swinglabs:jxlayer,,
commons-compress,60479,org.apache.commons:commons-compress,,
gson,41,com.google.code.gson:gson,,
hamcrest,85;123;149;492,org.hamcrest:hamcrest-all;org.hamcrest:hamcrest-library;org.hamcrest:hamcrest-core;org.hamcrest:hamcrest,533,
guava,10,com.google.guava:guava,,
jmock,370;362;61320,org.jmock:jmock;org.jmock:jmock-junit4;jmock:jmock,,
nekohtml,60790;62206,net.sourceforge.nekohtml:nekohtml;nekohtml:nekohtml,,
httpclient,47,org.apache.httpcomponents:httpclient,245,
snakeyaml,266,org.yaml:snakeyaml,,
mysql:mysql-connector-java,1,,,
org.uncommons.maths:uncommons-maths,2482,,,
commons-io:commons-io,60218;60474,,,
javax.validation:validation-api,156,,,
org.springframework.boot:spring-boot-starter-test,17,,,
org.glassfish.jersey.media:jersey-media-json-jackson,60667,,,
org.assertj:assertj-core,90,,,
javax.inject:javax.inject,60365,,,
commons-discovery:commons-discovery,61267,,,
jtds,60819;70044,,,
