fromLibrary,toLibrary,score
antlr,parboiled,2
antlr,java-cup,1
apache-mina,netty,2
args4j,jline,1
asm,javassist,4
backport-util-concurrent,concurrent,1
bcel,asm,1
bouncycastle,commons-codec,2
cassandra,mongo-java-driver,1
cglib,asm,3
collections-generic,guava,3
collections-generic,joda-time,1
colt,guava,2
colt,joda-time,1
colt,hppc,1
colt,fastutil,1
commons-cli,jopt-simple,2
commons-cli,jcommander,2
commons-cli,args4j,1
commons-codec,bouncycastle,2
commons-codec,jasypt,1
commons-collections,guava,14
commons-collections,commons-lang,11
commons-collections,joda-time,8
commons-collections,collections-generic,4
commons-collections,samskivert,1
commons-collections,lambdaj,1
commons-collections,high-scale-lib,1
commons-collections,colt,1
commons-httpclient,httpclient,33
commons-httpclient,httpcore,32
commons-httpclient,scribe,4
commons-httpclient,signpost,1
commons-lang,guava,19
commons-lang,joda-time,15
commons-lang,commons-collections,9
commons-lang,trove4j,1
commons-lang,samskivert,1
commons-lang,javolution,1
commons-lang,colt,1
commons-logging,slf4j,61
commons-logging,log4j,17
commons-logging,logback,9
compress-lzf,shrinkwrap,1
compress-lzf,jzlib,1
compress-lzf,commons-compress,1
concurrent,backport-util-concurrent,1
db4o,leveldb,1
db4o,h2,1
derby,h2,4
derby,postgresql,3
derby,hazelcast,2
derby,sqlite-jdbc,1
derby,hsqldb,1
derby,hbase,1
dom4j,xmlParserAPIs,3
dom4j,jdom,3
dom4j,xpp3,1
dom4j,xml-writer,1
dom4j,xerces,1
dom4j,jaxen,1
dumbster,subethasmtp,2
easymock,mockito,23
easymock,hamcrest,7
easymock,fest,3
easymock,powermock,2
easymock,jmock,1
eclipselink,hibernate,1
fastjson,gson,2
fastutil,guava,2
fastutil,trove4j,1
fastutil,colt,1
fest,mockito,3
fest,hamcrest,2
flexjson,json-lib,1
flexjson,jackson,1
freemarker,stringtemplate,1
groovy,spring,3
groovy,guice,3
gson,jackson,22
gson,org.json,6
gson,flexjson,3
gson,json-simple,2
gson,fastjson,2
gson,xstream,1
guava,commons-lang,18
guava,joda-time,8
guava,commons-collections,5
guava,lambdaj,2
guava,high-scale-lib,1
guava,fastutil,1
guava,collections-generic,1
guice,spring,15
guice,reflections,2
guice,groovy,2
h2,postgresql,2
h2,sqlite-jdbc,1
h2,hsqldb,1
hamcrest,fest,25
hamcrest,mockito,9
hamcrest,powermock,1
hamcrest,jmock,1
hamcrest,easymock,1
hbase,neo4j,1
high-scale-lib,joda-time,1
high-scale-lib,guava,1
hsqldb,mongo-java-driver,4
hsqldb,h2,4
hsqldb,derby,4
hsqldb,postgresql,3
hsqldb,neo4j,1
hsqldb,infinispan,1
htmlcleaner,jsoup,2
htmlcleaner,htmlunit,2
htmlcleaner,htmlparser,1
htmlparser,jsoup,2
htmlparser,nekohtml,1
htmlparser,htmlunit,1
htmlunit,htmlcleaner,2
httpclient,commons-httpclient,7
httpclient,scribe,4
httpclient,signpost,1
httpclient,httpcore,1
httpcore,commons-httpclient,5
httpcore,scribe,4
httpcore,signpost,1
infinispan,mongo-java-driver,1
jackson,org.json,8
jackson,gson,8
jackson,json-simple,3
jackson,flexjson,2
jackson,fastjson,2
jackson,xstream,1
jackson,json-lib,1
jasperreports,itext,1
jasypt,bouncycastle,1
java-cup,jflex,1
java-cup,antlr,1
java-getopt,jopt-simple,1
javassist,asm,3
javassist,cglib,1
javolution,trove4j,1
javolution,commons-lang,1
jaxen,xmlParserAPIs,1
jaxen,xerces,1
jaxen,jdom,1
jcommander,args4j,2
jcommander,jline,1
jdom,xmlParserAPIs,5
jdom,xerces,2
jdom,simple-xml,1
jdom,dom4j,1
jettison,jackson,7
jettison,org.json,1
jettison,json-simple,1
jettison,json-lib,1
jgoodies,miglayout,3
jgoodies,swingx,2
jgoodies,swing-layout,1
jgoodies,jxlayer,1
jgrapht,jung,1
jgraphx,jung,1
jgraphx,jgoodies,1
jibx,castor,1
jide-oss,wizard,1
jide-oss,swingx,1
jide-oss,jgrapht,1
jline,jansi,1
jline,args4j,1
jmock,mockito,6
jmock,hamcrest,2
jmock,easymock,1
jmockit,mockito,2
jmockit,powermock,1
jmockit,hamcrest,1
jmockit,fest,1
joda-time,commons-lang,6
joda-time,guava,3
joda-time,lambdaj,1
joda-time,commons-collections,1
jopt-simple,commons-cli,2
jopt-simple,jcommander,1
json-lib,jackson,11
json-lib,gson,5
json-lib,org.json,2
json-lib,xstream,1
json-lib,jsonic,1
json-lib,json-simple,1
json-lib,fastjson,1
json-path,jackson,1
json-simple,gson,8
json-simple,org.json,5
json-simple,jettison,5
json-simple,jackson,4
json-simple,xstream,1
json-simple,json-smart,1
json-simple,json-path,1
json-smart,json-simple,2
json-smart,jackson,1
jsoup,htmlunit,1
jung,jgraphx,1
jung,jgrapht,1
junit,testng,45
jwebunit,selenium,2
jwebunit,httpunit,1
jxlayer,jgoodies,1
jyaml,snakeyaml,2
libreadline-java,java-getopt,1
log4j,slf4j,95
log4j,logback,13
log4j,commons-logging,12
logback,slf4j,2
logback,log4j,1
lucene,elasticsearch,3
lucene,solr,1
lwjgl,slick,1
lwjgl,jbullet,1
mahout,joda-time,1
mahout,guava,1
miglayout,swingx,1
mockito,hamcrest,4
mockito,jmock,3
mockito,jmockit,2
mockito,powermock,1
mockito,easymock,1
mockobjects,jmock,1
mongo-java-driver,neo4j,1
mongo-java-driver,hsqldb,1
mongo-java-driver,h2,1
mvel2,stringtemplate,1
nanoxml,xmlParserAPIs,1
nanoxml,jdom,1
nekohtml,tagsoup,1
nekohtml,jericho-html,1
neo4j,postgresql,1
neo4j,mongo-java-driver,1
opennlp,stanford-corenlp,1
org.json,gson,28
org.json,jackson,26
org.json,json-simple,7
org.json,fastjson,5
org.json,json-smart,2
org.json,jettison,2
org.json,xstream,1
org.json,json-lib,1
org.json,flexjson,1
parboiled,antlr,1
pdfbox,itext,1
perf4j,speed4j,1
Permissions,PermissionsEx,9
postgresql,derby,2
postgresql,sqlite-jdbc,1
postgresql,h2,1
powermock,mockito,1
powermock,jmockit,1
reflectasm,reflections,1
reflections,scannotation,2
reflections,guice,2
reflections,objenesis,1
reflections,iogi,1
samskivert,guava,1
saxon,xerces,1
saxon,xalan,1
saxon,dom4j,1
scannotation,reflections,1
scannotation,groovy,1
scribe,signpost,1
signpost,scribe,2
signpost,httpcore,2
signpost,httpclient,2
simple-xml,xmlParserAPIs,2
simple-xml,xpp3,1
slf4j,log4j,19
slf4j,commons-logging,9
slick,lwjgl,1
solder,deltaspike,1
solr,lucene,1
solr,elasticsearch,1
spring,guice,7
spring,groovy,2
sqlite-jdbc,h2,3
sqlite-jdbc,postgresql,1
sqlite-jdbc,hsqldb,1
sqljet,sqlite-jdbc,1
stanford-corenlp,opennlp,2
stax-utils,xmltooling,2
stax-utils,xmlParserAPIs,2
stax-utils,wstx-asl,1
stax-utils,stax2-api,1
stringtemplate,mvel2,1
svenson,gson,1
swing-layout,timingframework,1
swing-layout,swingx,1
swing-layout,jide-oss,1
swing-layout,jgoodies,1
swingx,jgrapht,2
swingx,jgoodies,1
testng,junit,27
trove4j,guava,2
velocity,freemarker,2
velocity,stringtemplate,1
velocity,mvel2,1
wstx-asl,xpp3,1
wstx-asl,stax2-api,1
wstx-asl,kxml2,1
xalan,xmlParserAPIs,4
xalan,xerces,1
xalan,dom4j,1
xerces,xpp3,2
xerces,xom,1
xerces,saxon,1
xerces,kxml2,1
xerces,dom4j,1
xmlParserAPIs,xpp3,14
xmlParserAPIs,jdom,8
xmlParserAPIs,xom,2
xmlParserAPIs,xalan,2
xmlParserAPIs,wstx-asl,2
xmlParserAPIs,simple-xml,2
xmlParserAPIs,stax2-api,1
xmlParserAPIs,dom4j,1
xom,xmlParserAPIs,2
xpp3,xmlParserAPIs,4
xpp3,simple-xml,1
xstream,jackson,5
xstream,gson,2
xstream,org.json,1
xstream,jettison,1
xstream,flexjson,1
