fromLibrary,toLibrary,score,fromGroupArtifacts,toGroupArtifacts
antlr,parboiled,2,antlr:antlr;org.antlr:antlr;org.antlr:antlr4,antlr:antlr;org.antlr:antlr;org.antlr:antlr4;org.parboiled:parboiled-java;org.antlr:antlr4-runtime;org.antlr:antlr-runtime;org.parboiled:parboiled-core
antlr,java-cup,1,antlr:antlr;org.antlr:antlr;org.antlr:antlr4,antlr:antlr;org.antlr:antlr;org.antlr:antlr4;net.sf.squirrel-sql.thirdparty-non-maven:java-cup;org.antlr:antlr4-runtime;org.antlr:antlr-runtime;edu.princeton.cup:java-cup
apache-mina,netty,2,org.kie.modules:org-apache-mina,io.netty:netty-all;io.netty:netty;org.kie.modules:org-apache-mina
args4j,jline,1,args4j:args4j,org.jline:jline;jline:jline;args4j:args4j;org.sonatype.jline:jline
asm,javassist,4,asm:asm;org.ow2.asm:asm-all;asm:asm-all;org.ow2.asm:asm,asm:asm;jboss:javassist;org.javassist:javassist;org.ow2.asm:asm-all;org.ow2.asm:asm-commons;javassist:javassist;asm:asm-all;org.ow2.asm:asm
backport-util-concurrent,concurrent,1,backport-util-concurrent:backport-util-concurrent,concurrent:concurrent;com.facebook.airlift:concurrent;backport-util-concurrent:backport-util-concurrent;io.airlift:concurrent
bcel,asm,1,org.apache.bcel:bcel;bcel:bcel,asm:asm;org.ow2.asm:asm-all;org.ow2.asm:asm-commons;asm:asm-all;org.ow2.asm:asm;org.apache.bcel:bcel;bcel:bcel
bouncycastle,commons-codec,2,,commons-codec:commons-codec
cassandra,mongo-java-driver,1,com.datastax.cassandra:cassandra-driver-core;org.apache.cassandra:cassandra-all,com.datastax.cassandra:cassandra-driver-core;org.apache.cassandra:cassandra-all;org.mongodb:mongo-java-driver
cglib,asm,3,cglib:cglib,asm:asm;cglib:cglib;org.ow2.asm:asm-all;org.ow2.asm:asm-commons;asm:asm-all;org.ow2.asm:asm
collections-generic,guava,3,net.sourceforge.collections:collections-generic,net.sourceforge.collections:collections-generic;com.google.guava:guava
collections-generic,joda-time,1,net.sourceforge.collections:collections-generic,joda-time:joda-time;net.sourceforge.collections:collections-generic
colt,guava,2,colt:colt,colt:colt;com.google.guava:guava
colt,joda-time,1,colt:colt,colt:colt;joda-time:joda-time
