fromLibrary,toLibrary,fromGroupArtifact,toGroupArtifact,inDepSeq,dataConfirmed
Permissions,PermissionsEx,com.liferay:com.liferay.application.list.user.personal.site.permissions,com.paypal.sdk:permissionssdk,0,FALSE
Permissions,PermissionsEx,com.liferay:com.liferay.application.list.user.personal.site.permissions,de.ebf:spring-granular-permissions,0,FALSE
Permissions,PermissionsEx,com.liferay:com.liferay.application.list.user.personal.site.permissions,org.jasig.portal:uPortal-security-permissions,0,FALSE
PermissionsEx,Permissions,org.jasig.portal:uPortal-security-permissions,com.liferay:com.liferay.application.list.user.personal.site.permissions,0,FALSE
PermissionsEx,Permissions,de.ebf:spring-granular-permissions,com.liferay:com.liferay.application.list.user.personal.site.permissions,0,FALSE
PermissionsEx,Permissions,com.paypal.sdk:permissionssdk,com.liferay:com.liferay.application.list.user.personal.site.permissions,0,FALSE
antlr,java-cup,antlr:antlr,edu.princeton.cup:java-cup,0,FALSE
antlr,parboiled,antlr:antlr,org.parboiled:parboiled-core,0,FALSE
antlr,parboiled,org.antlr:antlr,org.parboiled:parboiled-core,0,FALSE
antlr,jflex,org.antlr:antlr,de.jflex:jflex,0,FALSE
antlr,parboiled,org.antlr:antlr4-runtime,org.parboiled:parboiled-core,1,FALSE
antlr,jflex,org.antlr:antlr4,de.jflex:jflex,0,FALSE
antlr,java-cup,org.antlr:antlr4-runtime,net.sf.squirrel-sql.thirdparty-non-maven:java-cup,0,FALSE
antlr,parboiled,org.antlr:antlr4,org.parboiled:parboiled-core,0,FALSE
antlr,java-cup,org.antlr:antlr4,net.sf.squirrel-sql.thirdparty-non-maven:java-cup,0,FALSE
antlr,parboiled,org.antlr:antlr-runtime,org.parboiled:parboiled-java,0,FALSE
antlr,parboiled,org.antlr:antlr4,org.parboiled:parboiled-java,0,FALSE
antlr,parboiled,org.antlr:antlr-runtime,org.parboiled:parboiled-core,0,FALSE
antlr,java-cup,org.antlr:antlr,edu.princeton.cup:java-cup,0,FALSE
antlr,java-cup,antlr:antlr,net.sf.squirrel-sql.thirdparty-non-maven:java-cup,0,FALSE
