fromLib,toLib,ruleCount,isPossible,isConfirmed,fromLibHomepageURL,toLibHomepageURL,fromLibDescription,toLibDescription,fromLibRepositoryURL,toLibRepositoryURL,fromLibRepositoryDescription,toLibRepositoryDescription
antlr:antlr,org.antlr:antlr-runtime,4,TRUE,TRUE,http://www.antlr.org,http://www.antlr.org,antlr v3 repository (pulled from p4 with history from //depot/code/antlr/antlr3-main,"A framework for constructing recognizers, compilers, and translators from grammatical descriptions containing Java, C#, C++, or Python actions.",https://github.com/antlr/antlr3/tree/master,https://github.com/antlr/antlr3,antlr v3 repository (pulled from p4 with history from //depot/code/antlr/antlr3-main,antlr v3 repository (pulled from p4 with history from //depot/code/antlr/antlr3-main
antlr:stringtemplate,org.antlr:stringtemplate,2,TRUE,TRUE,,http://www.stringtemplate.org,,"StringTemplate is a java template engine for generating source code, web pages, emails, or any other formatted text output. StringTemplate is particularly good at multi-targeted code generators, multiple site skins, and internationalization/localization. It evolved over years of effort developing jGuru.com. StringTemplate also generates the stringtemplate website: http://www.stringtemplate.org and powers the ANTLR v3 code generator. Its distinguishing characteristic is that unlike other engines, it strictly enforces model-view separation. Strict separation makes websites and code generators more flexible and maintainable; it also provides an excellent defense against malicious template authors. There are currently about 600 StringTemplate source downloads a month. ",,http://fisheye2.cenqua.com/browse/stringtemplate,,
args4j:args4j,net.sf.jopt-simple:jopt-simple,3,TRUE,TRUE,http://args4j.kohsuke.org/,http://pholser.github.com/jopt-simple,args4j,A Java library for parsing command line options,scm:git:git@github.com/kohsuke/args4j.git/args4j,https://github.com/pholser/jopt-simple,args4j,Java library for parsing command line options
asm:asm,org.ow2.asm:asm,47,TRUE,TRUE,,http://asm.ow2.io/,Artifactory auto generated POM,"ASM, a very small and fast Java bytecode manipulation framework",,https://gitlab.ow2.org/asm/asm/,,
asm:asm,org.ow2.asm:asm-commons,9,TRUE,TRUE,,http://asm.ow2.io/,Artifactory auto generated POM,"Usefull class adapters based on ASM, a very small and fast Java bytecode manipulation framework",,https://gitlab.ow2.org/asm/asm/,,
asm:asm,org.ow2.asm:asm-debug-all,5,TRUE,TRUE,,,Artifactory auto generated POM,,,scm:svn:svn://svn.forge.objectweb.org/svnroot/asm/trunk/asm-debug-all,,
asm:asm,javassist:javassist,3,TRUE,TRUE,,http://www.javassist.org/,Artifactory auto generated POM,Javassist (JAVA programming ASSISTant) makes Java bytecode manipulation simple. It is a class library for editing bytecodes in Java. ,,http://www.javassist.org/tags/3.12.0.SP1,,
asm:asm,org.apache.openejb:asm-finder,1,TRUE,TRUE,,,Artifactory auto generated POM,,,,,
asm:asm-all,org.ow2.asm:asm-all,30,TRUE,TRUE,http://asm.objectweb.org/asm-all/,,A very small and fast Java bytecode manipulation framework,,scm:svn:svn://svn.forge.objectweb.org/svnroot/asm/trunk/asm-all,scm:svn:svn://svn.forge.objectweb.org/svnroot/asm/trunk/asm-all,,
asm:asm-all,org.ow2.asm:asm-debug-all,6,TRUE,TRUE,http://asm.objectweb.org/asm-all/,,A very small and fast Java bytecode manipulation framework,,scm:svn:svn://svn.forge.objectweb.org/svnroot/asm/trunk/asm-all,scm:svn:svn://svn.forge.objectweb.org/svnroot/asm/trunk/asm-debug-all,,
asm:asm-all,org.apache.servicemix.bundles:org.apache.servicemix.bundles.asm,4,TRUE,TRUE,http://asm.objectweb.org/asm-all/,http://servicemix.apache.org/bundles-pom/org.apache.servicemix.bundles.asm/,A very small and fast Java bytecode manipulation framework,This OSGi bundle wraps asm-all 3.3.1 jar file.,scm:svn:svn://svn.forge.objectweb.org/svnroot/asm/trunk/asm-all,scm:svn:http://svn.apache.org/repos/asf/servicemix/smx4/bundles/tags/org.apache.servicemix.bundles.asm-3.3.1_1,,
asm:asm-all,org.ow2.asm:asm,4,TRUE,TRUE,http://asm.objectweb.org/asm-all/,http://asm.ow2.io/,A very small and fast Java bytecode manipulation framework,"ASM, a very small and fast Java bytecode manipulation framework",scm:svn:svn://svn.forge.objectweb.org/svnroot/asm/trunk/asm-all,https://gitlab.ow2.org/asm/asm/,,
asm:asm-all,org.apache.felix:org.apache.felix.scr.generator,2,TRUE,TRUE,http://asm.objectweb.org/asm-all/,,A very small and fast Java bytecode manipulation framework, Provides the implementation to generate Declarative Services and Metatype Service descriptors from Java 5 Annotations and/or JavaDoc tags. ,scm:svn:svn://svn.forge.objectweb.org/svnroot/asm/trunk/asm-all,scm:svn:https://svn.apache.org/repos/asf/felix/releases/org.apache.felix.scr.generator-1.2.0,,
asm:asm-all,org.glassfish.external:asm-all-repackaged,2,TRUE,TRUE,http://asm.objectweb.org/asm-all/,,A very small and fast Java bytecode manipulation framework,,scm:svn:svn://svn.forge.objectweb.org/svnroot/asm/trunk/asm-all,scm:svn:https://svn.dev.java.net/svn/glassfish-svn/tags/3.0.1-b22/external/asm-all-repackaged,,
asm:asm-all,org.ow2.asm:asm-analysis,2,TRUE,TRUE,http://asm.objectweb.org/asm-all/,http://asm.ow2.io/,A very small and fast Java bytecode manipulation framework,"Static code analysis API of ASM, a very small and fast Java bytecode manipulation framework",scm:svn:svn://svn.forge.objectweb.org/svnroot/asm/trunk/asm-all,https://gitlab.ow2.org/asm/asm/,,
