Unnamed: 0,fromLibrary,toLibrary,fromGroupArtifact,toGroupArtifact,inDepSeq,dataConfirmed
0,Permissions,PermissionsEx,com.liferay:com.liferay.application.list.user.personal.site.permissions,com.paypal.sdk:permissionssdk,0,False
1,Permissions,PermissionsEx,com.liferay:com.liferay.application.list.user.personal.site.permissions,de.ebf:spring-granular-permissions,0,False
2,Permissions,PermissionsEx,com.liferay:com.liferay.application.list.user.personal.site.permissions,org.jasig.portal:uPortal-security-permissions,0,False
3,PermissionsEx,Permissions,org.jasig.portal:uPortal-security-permissions,com.liferay:com.liferay.application.list.user.personal.site.permissions,0,False
4,PermissionsEx,Permissions,de.ebf:spring-granular-permissions,com.liferay:com.liferay.application.list.user.personal.site.permissions,0,False
5,PermissionsEx,Permissions,com.paypal.sdk:permissionssdk,com.liferay:com.liferay.application.list.user.personal.site.permissions,0,False
6,antlr,java-cup,antlr:antlr,edu.princeton.cup:java-cup,0,False
7,antlr,parboiled,antlr:antlr,org.parboiled:parboiled-core,0,False
8,antlr,parboiled,org.antlr:antlr,org.parboiled:parboiled-core,0,False
9,antlr,jflex,org.antlr:antlr,de.jflex:jflex,0,False
10,antlr,parboiled,org.antlr:antlr4-runtime,org.parboiled:parboiled-core,1,False
11,antlr,jflex,org.antlr:antlr4,de.jflex:jflex,0,False
12,antlr,java-cup,org.antlr:antlr4-runtime,net.sf.squirrel-sql.thirdparty-non-maven:java-cup,0,False
13,antlr,parboiled,org.antlr:antlr4,org.parboiled:parboiled-core,0,False
14,antlr,java-cup,org.antlr:antlr4,net.sf.squirrel-sql.thirdparty-non-maven:java-cup,0,False
15,antlr,parboiled,org.antlr:antlr-runtime,org.parboiled:parboiled-java,0,False
16,antlr,parboiled,org.antlr:antlr4,org.parboiled:parboiled-java,0,False
17,antlr,parboiled,org.antlr:antlr-runtime,org.parboiled:parboiled-core,0,False
18,antlr,java-cup,org.antlr:antlr,edu.princeton.cup:java-cup,0,False
19,antlr,java-cup,antlr:antlr,net.sf.squirrel-sql.thirdparty-non-maven:java-cup,0,False
20,antlr,java-cup,org.antlr:antlr4-runtime,edu.princeton.cup:java-cup,0,False
21,antlr,jflex,org.antlr:antlr-runtime,de.jflex:jflex,0,False
22,antlr,java-cup,org.antlr:antlr-runtime,edu.princeton.cup:java-cup,0,False
